순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	유한준	키움	0.362	139	598	520	103	188	42	1	23	301	116	1	8
2	박병호	키움	0.343	140	622	528	129	181	35	1	53	377	146	0	4
3	허정협	키움	0.333	4	6	6	1	2	0	0	0	2	0	0	0
3	홍성갑	키움	0.333	7	10	9	0	3	0	0	0	3	2	0	0
5	이택근	키움	0.326	105	401	347	61	113	16	1	10	161	44	3	4
6	고종욱	키움	0.310	119	443	407	81	126	25	4	10	189	51	4	1
7	김민성	키움	0.303	118	489	445	60	135	24	0	16	207	71	2	3
8	서건창	키움	0.298	85	368	312	52	93	24	4	3	134	37	11	2
9	윤석민	키움	0.294	108	418	361	54	106	24	1	14	174	71	5	7
10	김하성	키움	0.290	140	582	511	89	148	35	5	19	250	73	4	6
11	스나이더	키움	0.281	113	487	431	88	121	26	1	26	227	71	3	5
12	강지광	키움	0.278	13	21	18	3	5	0	0	0	5	2	0	0
13	장시윤	키움	0.276	17	31	29	2	8	0	0	0	8	2	2	0
14	박동원	키움	0.266	127	443	379	47	101	12	1	14	157	61	10	8
15	김재현	키움	0.262	59	71	65	7	17	3	0	1	23	6	2	1
16	유재신	키움	0.259	62	32	27	21	7	2	0	0	9	3	2	0
17	송성문	키움	0.250	7	12	12	0	3	0	0	0	3	1	0	0
18	박헌도	키움	0.248	108	267	218	31	54	13	0	8	91	42	3	2
19	유선정	키움	0.240	17	27	25	1	6	0	0	0	6	2	0	0
20	문우람	키움	0.235	63	138	119	22	28	10	0	2	44	22	1	3
21	김지수	키움	0.235	104	151	132	23	31	7	0	0	38	13	7	1
22	서동욱	키움	0.233	55	118	103	14	24	5	0	3	38	15	1	0
23	임병욱	키움	0.186	40	52	43	13	8	1	1	1	14	3	0	0
24	장영석	키움	0.125	6	8	8	0	1	0	0	0	1	0	0	0
25	김민준	키움	0.000	2	2	1	1	0	0	0	0	0	0	0	0
25	김택형	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
25	마정길	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
25	문성현	키움	-	2	0	0	0	0	0	0	0	0	0	0	0
25	손승락	키움	-	1	0	0	0	0	0	0	0	0	0	0	0
25	한현희	키움	-	2	0	0	0	0	0	0	0	0	0	0	0
