순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	황재균	롯데	0.335	127	559	498	97	167	26	5	27	284	113	0	8
2	김문호	롯데	0.325	140	599	526	77	171	28	3	7	226	70	3	2
3	손아섭	롯데	0.323	144	672	575	118	186	33	1	16	269	81	0	2
4	강민호	롯데	0.323	116	460	381	65	123	26	0	20	209	72	0	3
5	김사훈	롯데	0.321	19	36	28	5	9	1	0	0	10	4	5	0
6	신본기	롯데	0.309	25	104	81	13	25	4	0	1	32	10	2	0
7	아두치	롯데	0.291	64	272	247	46	72	18	3	7	117	41	1	5
8	김상호	롯데	0.290	114	415	366	39	106	20	0	7	147	56	2	5
9	맥스웰	롯데	0.288	23	99	80	14	23	3	1	4	40	16	0	1
10	박종윤	롯데	0.282	73	211	195	24	55	5	1	1	65	17	3	1
11	김준태	롯데	0.275	68	144	120	12	33	3	1	2	44	16	1	1
12	문규현	롯데	0.272	120	368	316	38	86	10	0	4	108	40	19	2
13	정훈	롯데	0.262	121	439	370	48	97	18	2	2	125	46	8	2
14	최준석	롯데	0.262	116	396	325	49	85	10	0	19	152	70	0	4
15	박헌도	롯데	0.261	37	82	69	9	18	7	0	3	34	11	0	0
16	오승택	롯데	0.260	42	135	123	17	32	6	0	3	47	7	0	0
17	전준우	롯데	0.253	25	113	99	16	25	7	0	2	38	10	1	0
18	김동한	롯데	0.252	78	116	107	9	27	6	0	0	33	14	3	0
19	이여상	롯데	0.250	61	83	72	10	18	3	1	0	23	7	3	1
20	손용석	롯데	0.244	51	99	90	8	22	5	0	0	27	9	2	2
21	나경민	롯데	0.232	35	66	56	13	13	2	0	0	15	3	1	1
22	김주현	롯데	0.207	21	33	29	4	6	4	0	0	10	1	1	0
23	김민하	롯데	0.200	46	49	45	8	9	1	0	1	13	1	2	0
23	오현근	롯데	0.200	19	17	15	4	3	0	0	0	3	2	0	0
25	이우민	롯데	0.193	52	98	83	19	16	5	0	1	24	8	4	0
26	안중열	롯데	0.179	19	29	28	2	5	1	0	0	6	3	0	0
27	김재유	롯데	0.148	21	30	27	8	4	0	0	0	4	1	1	0
28	김대륙	롯데	0.143	58	59	49	5	7	1	2	0	12	5	1	1
29	강동관	롯데	0.000	2	2	2	0	0	0	0	0	0	0	0	0
29	김대우	롯데	0.000	2	2	1	0	0	0	0	0	0	0	0	0
