순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	노관현	KIA	0.500	9	6	6	0	3	0	0	0	3	1	0	0
2	이진영	KIA	0.400	18	8	5	3	2	0	0	0	2	0	0	0
3	김선빈	KIA	0.370	137	529	476	84	176	34	1	5	227	64	5	4
4	최형우	KIA	0.342	142	629	514	98	176	36	3	26	296	120	0	8
5	최정민	KIA	0.333	8	9	9	1	3	1	0	0	4	1	0	0
6	이명기	KIA	0.332	115	512	464	79	154	24	4	9	213	63	14	3
7	버나디나	KIA	0.320	139	621	557	118	178	26	8	27	301	111	3	9
8	안치홍	KIA	0.316	132	545	487	95	154	29	2	21	250	93	6	5
9	김주찬	KIA	0.309	122	478	440	78	136	39	2	12	215	70	2	1
10	최원준	KIA	0.308	72	174	156	27	48	15	0	3	72	27	3	3
11	나지완	KIA	0.301	137	551	459	85	138	20	3	27	245	94	0	7
12	서동욱	KIA	0.282	125	366	319	49	90	21	1	7	134	48	8	3
13	이범호	KIA	0.272	115	447	382	57	104	14	0	25	193	89	0	6
14	김호령	KIA	0.267	98	105	90	31	24	6	1	1	35	11	3	1
15	오준혁	KIA	0.250	14	13	12	1	3	0	0	0	3	1	0	0
16	신종길	KIA	0.241	64	90	83	13	20	5	1	1	30	10	0	2
17	고장혁	KIA	0.237	67	40	38	13	9	3	0	0	12	3	1	1
18	김지성	KIA	0.234	37	49	47	6	11	3	0	2	20	4	0	0
19	한승택	KIA	0.229	96	91	83	7	19	2	1	0	23	7	1	0
20	유재신	KIA	0.222	25	20	18	4	4	0	0	0	4	1	1	0
21	김민식	KIA	0.222	137	392	352	39	78	9	2	4	103	40	7	2
22	백용환	KIA	0.176	15	20	17	2	3	0	0	0	3	1	0	0
23	김주형	KIA	0.170	57	116	106	11	18	5	0	0	23	10	0	1
24	이호신	KIA	0.143	12	8	7	3	1	0	0	0	1	0	0	0
25	고효준	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
25	김광수	KIA	-	4	0	0	0	0	0	0	0	0	0	0	0
25	김세현	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
25	김윤동	KIA	-	2	0	0	0	0	0	0	0	0	0	0	0
25	김진우	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
25	박지훈	KIA	-	1	0	0	0	0	0	0	0	0	0	0	0
