순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	유한준	KT	0.339	121	480	428	59	145	21	1	20	228	83	2	1
2	이진영	KT	0.318	110	312	283	40	90	17	1	3	118	39	1	3
3	로하스	KT	0.305	144	645	564	114	172	30	1	43	333	114	1	2
4	황재균	KT	0.296	142	588	530	76	157	41	3	25	279	88	2	3
5	강백호	KT	0.290	138	585	527	108	153	32	2	29	276	84	0	3
6	윤석민	KT	0.276	132	509	460	58	127	22	0	19	206	60	2	3
7	정현	KT	0.265	65	132	117	16	31	7	0	2	44	9	6	0
8	박경수	KT	0.262	135	528	458	65	120	21	0	25	216	74	0	3
9	심우준	KT	0.259	135	403	367	49	95	23	3	4	136	29	11	1
10	장성우	KT	0.258	127	393	356	41	92	13	0	13	144	48	1	2
11	오태곤	KT	0.254	128	374	342	55	87	17	2	12	144	39	3	1
12	이준수	KT	0.250	11	10	8	0	2	0	0	0	2	1	1	0
13	홍현빈	KT	0.231	14	15	13	2	3	0	0	0	3	1	0	0
14	이해창	KT	0.216	83	174	162	19	35	4	0	8	63	24	1	0
15	박기혁	KT	0.214	98	196	173	17	37	6	0	1	46	15	5	3
16	김지열	KT	0.200	38	48	45	11	9	4	0	1	16	5	0	0
16	배정대	KT	0.200	14	5	5	1	1	0	0	0	1	0	0	0
18	남태혁	KT	0.182	7	11	11	0	2	0	0	0	2	0	0	0
19	전민수	KT	0.172	21	35	29	0	5	3	0	0	8	4	1	0
20	송민섭	KT	0.148	47	29	27	7	4	0	0	0	4	0	1	0
21	김진곤	KT	0.143	19	23	21	4	3	1	0	0	4	0	0	0
22	오준혁	KT	0.136	30	50	44	6	6	0	0	0	6	2	1	1
22	하준호	KT	0.136	15	26	22	2	3	1	0	1	7	2	4	0
24	김동욱	KT	0.091	11	12	11	2	1	0	0	0	1	0	0	0
25	고명성	KT	0.000	5	2	2	0	0	0	0	0	0	0	0	0
25	고창성	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
25	김사율	KT	-	1	0	0	0	0	0	0	0	0	0	0	0
25	김영환	KT	0.000	4	4	4	1	0	0	0	0	0	0	0	0
25	김재윤	KT	-	6	0	0	0	0	0	0	0	0	0	0	0
25	신병률	KT	-	2	0	0	0	0	0	0	0	0	0	0	0
