순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	장승현	두산	0.385	20	16	13	2	5	0	0	0	5	1	2	0
2	전민재	두산	0.375	12	8	8	2	3	1	0	0	4	3	0	0
3	정수빈	두산	0.367	26	112	98	20	36	2	1	2	46	23	0	2
4	양의지	두산	0.358	133	503	439	84	157	29	1	23	257	77	0	6
5	김재환	두산	0.334	139	602	527	104	176	36	1	44	346	133	0	7
6	국해성	두산	0.333	14	28	24	4	8	3	0	0	11	1	0	0
6	최주환	두산	0.333	138	590	519	87	173	39	6	26	302	108	0	10
8	박건우	두산	0.326	125	529	488	79	159	24	6	12	231	84	1	2
9	허경민	두산	0.324	133	577	516	85	167	30	5	10	237	79	5	8
10	오재원	두산	0.313	132	521	473	78	148	24	1	15	219	81	3	2
11	김재호	두산	0.311	131	467	402	78	125	20	0	16	193	75	3	6
12	정진호	두산	0.301	111	299	269	53	81	12	1	2	101	37	9	1
13	양종민	두산	0.286	21	15	14	5	4	0	1	0	6	1	0	0
14	박세혁	두산	0.282	89	194	170	37	48	12	0	3	69	22	3	1
15	오재일	두산	0.279	123	477	401	69	112	19	2	27	216	80	0	10
16	조수행	두산	0.279	119	198	183	35	51	6	4	1	68	17	5	1
17	이병휘	두산	0.273	28	24	22	5	6	1	0	0	7	2	0	0
18	류지혁	두산	0.268	128	280	228	52	61	7	0	1	71	29	11	2
19	김인태	두산	0.263	46	109	95	16	25	7	0	1	35	10	1	1
20	황경태	두산	0.231	27	13	13	9	3	2	0	0	5	0	0	0
21	김민혁	두산	0.226	22	58	53	7	12	2	0	2	20	10	0	0
22	백민기	두산	0.222	23	34	27	7	6	2	0	1	11	4	0	1
23	신성현	두산	0.167	16	27	24	5	4	0	0	1	7	2	0	1
24	파레디스	두산	0.138	21	71	65	7	9	2	1	1	16	4	0	1
25	반슬라이크	두산	0.128	12	44	39	1	5	1	0	1	9	4	0	1
26	김정후	두산	0.000	2	1	1	0	0	0	0	0	0	0	0	0
26	박성모	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
26	변진수	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
26	유재유	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
26	이영하	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
