순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	최승민	NC	0.444	24	10	9	5	4	1	0	0	5	1	0	0
2	나성범	NC	0.366	23	106	93	19	34	12	1	4	60	14	0	0
3	양의지	NC	0.354	118	459	390	61	138	26	0	20	224	68	0	6
4	박민우	NC	0.344	125	526	468	89	161	23	8	1	203	45	2	6
5	모창민	NC	0.305	101	386	341	49	104	21	2	10	159	55	0	11
6	이명기	NC	0.293	139	547	484	62	142	17	3	2	171	36	7	4
7	이상호	NC	0.278	102	256	234	30	65	7	0	0	72	12	8	3
8	김찬형	NC	0.277	76	154	141	16	39	4	2	1	50	12	2	1
9	김태진	NC	0.275	123	399	374	44	103	14	5	5	142	46	5	3
10	박석민	NC	0.267	112	444	360	49	96	17	1	19	172	74	4	3
10	손시헌	NC	0.267	68	149	135	17	36	4	1	2	48	10	4	0
12	노진혁	NC	0.264	110	390	348	51	92	23	2	13	158	43	6	3
13	이원재	NC	0.258	94	285	256	31	66	11	0	8	101	36	5	3
14	권희동	NC	0.256	116	413	348	37	89	17	0	6	124	41	5	3
15	김준완	NC	0.250	8	19	16	0	4	0	0	0	4	1	0	1
15	윤수강	NC	0.250	2	4	4	0	1	0	0	0	1	0	0	0
15	이인혁	NC	0.250	6	9	8	1	2	0	0	1	5	1	0	0
18	강진성	NC	0.247	41	104	97	11	24	4	1	2	36	14	0	0
19	베탄코트	NC	0.246	53	224	203	23	50	8	0	8	82	29	0	2
20	김성욱	NC	0.230	116	333	287	38	66	16	1	9	111	36	9	5
21	스몰린스키	NC	0.229	55	228	205	32	47	14	1	9	90	42	0	2
22	지석훈	NC	0.228	76	169	149	15	34	9	0	2	49	15	2	2
23	정범모	NC	0.225	25	45	40	4	9	1	0	2	16	4	2	0
24	김형준	NC	0.224	55	119	107	13	24	5	0	2	35	9	4	0
25	김태군	NC	0.182	18	28	22	0	4	0	0	0	4	1	0	0
26	김진형	NC	0.150	11	23	20	2	3	1	0	0	4	2	1	2
27	오영수	NC	0.125	3	8	8	0	1	0	0	0	1	0	0	0
28	박헌욱	NC	0.111	6	9	9	0	1	1	0	0	2	1	0	0
29	강윤구	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
29	김건태	NC	-	1	0	0	0	0	0	0	0	0	0	0	0
