순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	임재현	SK	0.667	6	3	3	1	2	0	0	0	2	0	0	0
2	고종욱	SK	0.323	137	513	492	76	159	25	7	3	207	56	0	2
3	최정	SK	0.292	141	606	503	86	147	27	0	29	261	99	0	8
4	김재현	SK	0.286	83	49	42	29	12	2	1	0	16	2	3	0
5	정의윤	SK	0.282	110	419	380	44	107	24	0	13	170	59	0	2
6	로맥	SK	0.276	137	589	504	86	139	28	1	29	256	95	0	6
7	김강민	SK	0.270	127	460	422	54	114	14	2	8	156	50	0	3
8	이재원	SK	0.268	139	502	451	33	121	19	0	12	176	75	1	7
9	한동민	SK	0.265	125	502	427	52	113	20	0	12	169	52	0	0
10	김성민	SK	0.250	2	4	4	0	1	0	0	0	1	0	0	0
10	노수광	SK	0.250	117	445	388	69	97	16	1	2	121	28	9	0
12	김성현	SK	0.246	144	472	426	45	105	16	2	1	128	34	8	3
13	안상현	SK	0.235	65	108	102	14	24	3	0	0	27	5	1	1
14	최항	SK	0.228	52	147	127	12	29	5	0	0	34	14	1	1
15	남태혁	SK	0.227	12	24	22	1	5	0	0	0	5	1	0	0
15	최승준	SK	0.227	10	24	22	2	5	0	0	0	5	0	0	0
17	배영섭	SK	0.225	30	80	71	5	16	1	0	0	17	7	0	1
18	나주환	SK	0.222	94	245	225	14	50	9	0	3	68	20	4	1
19	최준우	SK	0.212	15	36	33	3	7	2	0	0	9	0	0	0
20	박정권	SK	0.188	18	37	32	5	6	1	0	1	10	5	0	0
20	정진기	SK	0.188	13	17	16	1	3	0	0	0	3	2	0	0
22	김창평	SK	0.178	18	53	45	4	8	2	0	0	10	3	3	0
23	강승호	SK	0.154	15	42	39	5	6	0	0	2	12	5	1	0
24	허도환	SK	0.127	56	93	79	3	10	3	0	1	16	6	4	2
25	정현	SK	0.079	27	45	38	3	3	0	0	0	3	2	0	1
26	최경모	SK	0.063	17	16	16	2	1	1	0	0	2	1	0	0
27	김태훈	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
27	신재웅	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
27	오준혁	SK	0.000	2	1	1	1	0	0	0	0	0	0	0	0
27	이승진	SK	-	1	0	0	0	0	0	0	0	0	0	0	0
