순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김헌곤	삼성	0.297	114	467	411	57	122	20	1	5	159	46	5	6
2	러프	삼성	0.292	133	568	472	80	138	35	2	22	243	101	0	9
3	박찬도	삼성	0.281	30	34	32	10	9	1	0	0	10	2	0	0
4	윌리엄슨	삼성	0.273	40	168	154	19	42	7	1	4	63	15	0	1
5	김상수	삼성	0.271	129	543	468	76	127	20	2	5	166	38	6	4
6	구자욱	삼성	0.267	122	526	475	66	127	27	6	15	211	71	0	6
7	이학주	삼성	0.262	118	436	385	43	101	14	3	7	142	36	5	4
8	박한이	삼성	0.257	30	85	74	6	19	3	0	2	28	13	1	1
9	박계범	삼성	0.256	58	204	168	26	43	8	1	4	65	25	6	3
10	이성규	삼성	0.256	16	46	43	3	11	2	0	2	19	7	0	0
11	최영진	삼성	0.251	96	275	251	29	63	15	1	5	95	20	8	0
12	이원석	삼성	0.246	111	455	395	44	97	20	0	19	174	76	2	7
13	공민규	삼성	0.245	28	60	53	4	13	1	0	3	23	6	0	0
14	박해민	삼성	0.239	144	581	506	64	121	16	7	5	166	44	12	3
15	백승민	삼성	0.238	19	45	42	4	10	1	0	0	11	4	0	1
16	송준석	삼성	0.235	26	56	51	6	12	3	0	1	18	4	1	1
17	강민호	삼성	0.234	112	393	346	36	81	20	0	13	140	45	2	3
18	김응민	삼성	0.231	8	13	13	0	3	1	0	0	4	0	0	0
19	김호재	삼성	0.219	28	33	32	1	7	1	0	0	8	0	0	0
20	김동엽	삼성	0.215	60	211	195	15	42	4	1	6	66	25	0	2
21	김민수	삼성	0.205	29	41	39	5	8	1	0	0	9	2	0	1
22	김도환	삼성	0.204	61	106	93	7	19	6	0	2	31	7	4	1
23	손주인	삼성	0.194	20	35	31	2	6	0	0	1	9	4	2	0
24	박승규	삼성	0.190	14	23	21	2	4	0	0	0	4	2	0	0
25	김성훈	삼성	0.182	65	88	77	14	14	1	1	1	20	5	4	0
26	이성곤	삼성	0.179	13	28	28	1	5	3	0	0	8	0	0	0
27	최선호	삼성	0.167	17	8	6	1	1	0	0	0	1	0	0	0
28	권오준	삼성	-	2	0	0	0	0	0	0	0	0	0	0	0
28	김재현	삼성	0.000	6	2	2	1	0	0	0	0	0	0	0	0
28	양우현	삼성	0.000	1	1	1	0	0	0	0	0	0	0	0	0
