순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김용의	LG	0.500	12	10	10	2	5	0	0	0	5	3	0	0
2	백승현	LG	0.444	5	10	9	1	4	0	0	0	4	2	1	0
3	이성우	LG	0.400	7	6	5	0	2	0	0	0	2	0	1	0
4	김현수	LG	0.386	17	76	70	15	27	8	1	1	40	12	0	0
5	라모스	LG	0.350	17	70	60	12	21	4	0	7	46	16	0	0
6	이천웅	LG	0.310	15	65	58	15	18	2	1	1	25	3	0	1
7	채은성	LG	0.303	17	72	66	15	20	2	0	3	31	16	0	0
8	김민성	LG	0.277	15	55	47	4	13	5	0	0	18	10	0	0
9	박용택	LG	0.236	16	59	55	6	13	4	0	0	17	10	0	0
10	구본혁	LG	0.200	12	6	5	1	1	0	0	0	1	1	0	0
10	정근우	LG	0.200	15	48	40	5	8	1	0	0	9	3	1	0
12	홍창기	LG	0.182	13	20	11	3	2	2	0	0	4	1	0	1
13	정주현	LG	0.174	14	27	23	6	4	2	0	2	12	2	0	0
14	오지환	LG	0.170	17	62	53	6	9	1	0	1	13	4	1	2
15	박재욱	LG	0.167	4	7	6	0	1	0	0	0	1	1	0	0
16	유강남	LG	0.156	16	53	45	3	7	2	0	1	12	8	0	1
17	류원석	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
17	손호영	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
17	송은범	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
17	신민재	LG	-	2	0	0	2	0	0	0	0	0	0	0	0
17	최동환	LG	-	1	0	0	0	0	0	0	0	0	0	0	0
