순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	전병두	SK	0.00	1	0	0	0	0	-	0.3	0	0	0	0	0	0	0	0.00
1	조한욱	SK	0.00	2	0	0	0	0	-	2.3	1	0	4	0	2	0	0	2.14
3	박희수	SK	3.29	51	4	5	26	0	0.444	54.6	43	3	26	5	37	23	20	1.26
4	켈리	SK	3.68	31	9	8	0	0	0.529	200.3	205	15	60	7	152	91	82	1.32
5	김광현	SK	3.88	27	11	8	0	1	0.579	137	139	17	41	6	116	68	59	1.31
6	김주한	SK	4.25	39	3	1	1	2	0.750	59.3	62	6	14	4	50	28	28	1.28
7	김태훈	SK	4.30	15	0	1	0	0	0.000	14.6	15	1	12	1	9	7	7	1.84
8	채병용	SK	4.30	68	6	3	2	9	0.667	83.6	77	9	29	3	67	43	40	1.27
9	서진용	SK	4.73	25	0	0	0	3	-	26.6	26	3	13	2	30	16	14	1.46
10	정영일	SK	4.74	21	1	0	0	1	1.000	24.6	16	3	12	3	18	13	13	1.14
11	윤희상	SK	4.84	23	9	6	0	0	0.600	122.6	143	18	44	6	74	69	66	1.52
12	박민호	SK	4.91	32	0	1	0	3	0.000	36.6	40	4	9	4	18	20	20	1.34
13	이정담	SK	5.06	6	0	0	0	0	-	5.3	6	1	2	0	0	3	3	1.50
14	전유수	SK	5.13	46	2	4	0	3	0.333	54.3	67	6	29	0	45	38	31	1.77
15	세든	SK	5.37	12	5	5	0	0	0.500	62	76	8	17	1	43	52	37	1.50
16	박정배	SK	5.40	49	2	3	2	11	0.400	51.6	55	6	17	3	26	34	31	1.39
17	신재웅	SK	5.50	35	0	1	0	4	0.000	18	16	4	17	3	17	12	11	1.83
18	박종훈	SK	5.66	28	8	13	0	0	0.381	140	141	17	91	23	104	102	88	1.66
19	김승회	SK	5.92	23	1	1	0	4	0.500	24.3	29	4	9	0	19	16	16	1.56
20	문승원	SK	6.64	20	4	4	0	0	0.500	63.6	86	12	33	3	49	52	47	1.87
21	라라	SK	6.70	17	2	6	0	1	0.250	48.3	66	5	30	1	40	46	36	1.99
22	문광은	SK	9.53	17	1	1	0	1	0.500	17	30	6	7	0	13	18	18	2.18
23	임준혁	SK	10.06	12	2	6	0	0	0.250	34	57	6	10	2	20	41	38	1.97
24	이건욱	SK	27.00	1	0	0	0	0	-	0.6	2	0	0	0	1	2	2	3.00
