순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	이정민	롯데	3.16	67	5	2	2	9	0.714	77	83	6	21	5	60	29	27	1.35
2	배장호	롯데	3.80	19	0	0	0	1	-	23.6	26	1	10	4	11	10	10	1.52
3	손승락	롯데	4.26	48	7	3	20	0	0.700	50.6	61	5	24	3	48	25	24	1.68
4	레일리	롯데	4.34	31	8	10	0	0	0.444	184.6	207	21	51	17	147	105	89	1.40
5	홍성민	롯데	4.46	52	1	1	2	5	0.500	42.3	45	5	16	1	30	24	21	1.44
6	정대현	롯데	5.19	24	1	0	0	8	1.000	17.3	24	3	13	0	7	10	10	2.13
7	린드블럼	롯데	5.28	30	10	13	0	0	0.435	177.3	197	28	77	9	148	109	104	1.55
8	강영식	롯데	5.40	24	0	2	0	5	0.000	11.6	13	2	9	0	11	8	7	1.89
8	박시영	롯데	5.40	42	2	3	0	1	0.400	61.6	64	6	29	2	57	38	37	1.51
10	박세웅	롯데	5.76	27	7	12	0	0	0.368	139	160	17	62	6	133	97	89	1.60
11	박진형	롯데	5.81	39	6	2	0	3	0.750	93	101	9	54	13	78	65	60	1.67
12	윤길현	롯데	6.00	62	7	7	2	16	0.500	60	75	8	22	2	50	42	40	1.62
13	박한길	롯데	6.06	9	0	0	0	0	-	16.3	24	1	7	1	10	15	11	1.90
14	김유영	롯데	6.55	46	0	1	1	3	0.000	34.3	37	3	30	0	31	32	25	1.95
15	노경은	롯데	6.85	22	3	12	0	0	0.200	94.6	128	13	48	5	52	79	72	1.86
16	이성민	롯데	7.08	36	6	5	0	1	0.545	68.6	89	11	42	4	47	59	54	1.91
17	김성재	롯데	7.36	6	0	0	0	0	-	3.6	5	2	2	0	3	3	3	1.91
18	송승준	롯데	8.71	10	1	2	0	0	0.333	41.3	62	6	21	2	35	43	40	2.01
19	이명우	롯데	9.27	45	2	3	0	6	0.400	33	41	5	18	1	25	37	34	1.79
20	김원중	롯데	9.39	3	0	1	0	0	0.000	7.6	7	2	8	0	5	8	8	1.96
21	강승현	롯데	9.72	6	0	0	0	0	-	8.3	14	2	5	0	7	9	9	2.28
22	이경우	롯데	13.50	1	0	0	0	0	-	2	3	1	0	0	1	3	3	1.50
23	차재용	롯데	20.25	2	0	0	0	0	-	2.6	3	1	4	0	0	6	6	2.63
