순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김도영	KT	0.00	1	0	0	0	0	-	1	1	0	0	0	0	0	0	1.00
2	피어밴드	KT	3.04	26	8	10	0	0	0.444	160	153	20	31	7	132	67	54	1.15
3	윤근영	KT	3.50	12	0	0	0	1	-	18	23	4	5	0	11	9	7	1.56
4	이상화	KT	3.95	70	4	3	6	4	0.571	66	68	4	16	4	57	32	29	1.27
5	엄상백	KT	4.15	52	1	3	0	8	0.250	52	48	3	22	4	39	28	24	1.35
6	로치	KT	4.69	28	4	15	0	0	0.211	165	200	18	60	13	99	106	86	1.58
7	고영표	KT	5.08	25	8	12	0	1	0.400	141.6	170	13	16	18	125	84	80	1.31
8	심재민	KT	5.18	64	1	7	0	13	0.125	74.6	86	11	31	4	69	48	43	1.57
9	강장산	KT	5.47	17	0	0	0	0	-	26.3	27	3	15	4	16	17	16	1.59
10	김재윤	KT	5.79	41	3	5	15	0	0.375	37.3	41	1	11	1	31	25	24	1.39
11	홍성용	KT	6.23	37	0	2	0	1	0.000	39	44	7	17	3	22	27	27	1.56
12	주권	KT	6.61	39	5	6	1	3	0.455	81.6	101	15	31	6	47	64	60	1.62
13	이종혁	KT	6.63	16	2	0	0	0	1.000	19	25	3	10	5	10	16	14	1.84
14	김사율	KT	7.27	19	3	3	0	2	0.500	34.6	51	7	8	1	28	30	28	1.70
15	조무근	KT	7.36	16	0	0	0	3	-	14.6	21	2	3	1	9	13	12	1.64
16	류희운	KT	7.67	24	4	4	0	0	0.500	81	99	18	53	8	52	72	69	1.88
17	정성곤	KT	8.11	26	3	12	0	0	0.200	107.6	151	20	41	6	72	99	97	1.78
18	배우열	KT	8.65	26	0	2	0	3	0.000	34.3	58	7	9	4	33	33	33	1.95
19	배제성	KT	8.72	21	0	0	0	0	-	32	46	4	23	2	21	32	31	2.16
20	박세진	KT	9.53	4	0	2	0	0	0.000	11.3	16	0	6	2	8	12	12	1.94
21	홍성무	KT	12.79	7	0	1	0	0	0.000	6.3	11	1	6	0	4	9	9	2.68
22	최원재	KT	13.50	4	1	0	0	0	1.000	2	6	1	1	1	2	3	3	3.50
23	조근종	KT	22.50	1	0	0	0	0	-	2	6	1	1	0	5	5	5	3.50
