순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	신승현	LG	0.00	3	0	0	0	0	-	3.6	1	0	0	1	1	0	0	0.27
1	여건욱	LG	0.00	3	0	0	0	1	-	3.3	4	0	3	0	3	0	0	2.10
3	허프	LG	2.38	19	6	4	0	0	0.600	124.6	100	7	14	2	98	37	33	0.91
4	임정우	LG	2.70	17	0	0	0	1	-	16.6	14	1	6	1	17	6	5	1.20
5	차우찬	LG	3.43	28	10	7	0	0	0.588	175.6	171	20	38	7	157	75	67	1.19
6	유재유	LG	3.60	3	0	0	0	0	-	5	6	0	4	0	1	2	2	2.00
7	윤지웅	LG	3.86	34	1	1	1	3	0.500	35	39	4	10	4	22	20	15	1.40
8	소사	LG	3.88	30	11	11	1	0	0.500	185.3	189	11	38	3	153	86	80	1.22
9	진해수	LG	3.93	75	3	3	1	24	0.500	52.6	52	6	15	2	48	23	23	1.27
10	최성훈	LG	4.09	32	0	0	1	3	-	22	25	2	11	4	16	12	10	1.64
11	고우석	LG	4.50	25	0	0	0	1	-	26	30	2	11	2	23	13	13	1.58
11	손주영	LG	4.50	5	0	0	0	0	-	6	6	0	1	1	5	3	3	1.17
13	임찬규	LG	4.63	27	6	10	0	0	0.375	124.3	133	12	45	24	113	70	64	1.43
14	이동현	LG	4.80	45	3	6	7	5	0.333	50.6	52	4	10	3	39	30	27	1.22
15	김지용	LG	5.09	53	4	3	3	8	0.571	53	59	13	14	2	39	33	30	1.38
16	신정락	LG	5.34	63	3	5	10	12	0.375	59	61	4	24	10	58	42	35	1.44
17	류제국	LG	5.35	25	8	6	0	0	0.571	131.3	140	10	55	19	107	87	78	1.48
18	김대현	LG	5.36	26	5	7	0	0	0.417	94	95	13	32	6	49	59	56	1.35
19	최동환	LG	5.68	35	1	2	1	5	0.333	38	39	9	15	5	31	26	24	1.42
20	정찬헌	LG	5.84	61	8	7	7	3	0.533	61.6	75	5	25	4	57	43	40	1.62
21	유원상	LG	6.14	6	0	0	0	0	-	7.3	8	0	4	2	1	6	5	1.64
22	배민관	LG	9.82	4	0	0	0	0	-	3.6	6	1	4	0	2	4	4	2.73
