순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	장지훈	삼성	0.00	4	0	0	0	0	-	2.3	2	0	1	0	5	0	0	1.29
2	심창민	삼성	4.18	66	4	7	6	16	0.364	75.3	55	12	44	7	103	36	35	1.31
3	윤성환	삼성	4.28	28	12	9	0	0	0.571	174.3	181	22	37	15	130	86	83	1.25
4	백정현	삼성	4.38	35	8	4	0	3	0.667	100.6	110	11	36	6	94	52	49	1.45
5	장필준	삼성	4.68	56	4	8	21	3	0.333	67.3	82	6	26	4	82	37	35	1.60
6	임현준	삼성	5.06	11	0	0	0	0	-	10.6	11	0	4	2	4	7	6	1.41
7	이승현	삼성	5.12	30	2	0	0	0	1.000	31.6	36	9	22	1	25	21	18	1.83
8	권오준	삼성	5.14	45	1	2	0	1	0.333	56	57	11	14	4	55	32	32	1.27
9	우규민	삼성	5.21	27	7	10	0	0	0.412	133	161	19	23	16	100	95	77	1.38
10	장원삼	삼성	5.61	49	4	5	0	6	0.444	67.3	96	8	17	5	55	48	42	1.68
11	김승현	삼성	5.77	41	0	3	0	0	0.000	43.6	51	7	34	6	37	31	28	1.95
12	페트릭	삼성	6.18	25	3	10	0	0	0.231	134	174	18	52	6	87	95	92	1.69
13	최지광	삼성	6.48	11	0	2	0	0	0.000	25	28	2	22	1	23	20	18	2.00
14	김동호	삼성	6.75	20	0	1	0	0	0.000	36	52	1	21	6	16	27	27	2.03
15	레나도	삼성	6.80	11	2	3	0	0	0.400	49	70	11	27	6	28	46	37	1.98
16	김시현	삼성	7.59	17	0	0	0	0	-	21.3	29	4	15	2	16	18	18	2.06
17	최충연	삼성	7.61	42	3	8	0	3	0.273	84	110	12	48	9	74	71	71	1.88
18	안성무	삼성	7.71	5	1	1	0	0	0.500	11.6	14	2	10	1	8	10	10	2.06
19	황수범	삼성	8.04	10	1	2	0	0	0.333	31.3	45	7	19	2	26	34	28	2.04
20	안규현	삼성	9.00	1	0	0	0	0	-	2	2	0	3	1	1	2	2	2.50
20	임대한	삼성	9.00	12	0	0	0	0	-	14	26	3	15	0	13	17	14	2.93
22	김현우	삼성	9.28	8	0	0	0	0	-	10.6	15	4	3	2	11	13	11	1.69
23	박근홍	삼성	9.39	24	0	0	0	1	-	15.3	13	2	14	3	14	17	16	1.76
24	김대우	삼성	9.54	25	2	5	0	1	0.286	50	71	7	26	8	28	56	53	1.94
25	정인욱	삼성	9.84	9	1	4	0	0	0.200	32	46	9	14	4	27	37	35	1.88
26	이수민	삼성	10.13	1	0	0	0	0	-	2.6	4	0	1	1	1	3	3	1.88
