순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	임규빈	키움	0.00	1	0	0	0	0	-	1	1	0	0	0	2	0	0	1.00
2	양현	키움	1.99	29	1	0	0	1	1.000	40.6	31	1	11	1	25	10	9	1.03
3	오주원	키움	2.32	57	3	3	18	3	0.500	54.3	54	1	7	3	41	17	14	1.12
4	김성민	키움	2.56	50	2	0	0	5	1.000	56.3	53	0	11	2	38	17	16	1.14
5	조상우	키움	2.66	48	2	4	20	8	0.333	47.3	45	3	8	2	46	15	14	1.12
6	윤영삼	키움	2.87	54	3	3	1	3	0.500	62.6	60	5	14	1	56	23	20	1.18
7	브리검	키움	2.96	28	13	5	0	0	0.722	158.3	148	5	46	12	130	62	52	1.23
8	이영준	키움	2.97	29	1	1	0	1	0.500	33.3	39	0	5	0	19	11	11	1.32
9	김상수	키움	3.02	67	3	5	0	40	0.375	56.6	50	3	28	2	60	19	19	1.38
10	요키시	키움	3.13	30	13	9	0	0	0.591	181.3	166	9	39	11	141	72	63	1.13
11	최원태	키움	3.38	27	11	5	0	0	0.688	157.3	165	5	36	5	105	68	59	1.28
12	한현희	키움	3.41	61	7	5	0	24	0.583	58	50	1	20	7	49	26	22	1.21
13	신재영	키움	3.68	12	1	0	0	0	1.000	29.3	34	1	9	4	21	14	12	1.47
14	김선기	키움	4.18	7	3	1	0	0	0.750	28	27	2	9	4	17	13	13	1.29
15	이승호	키움	4.48	23	8	5	0	0	0.615	122.6	134	10	51	1	82	70	61	1.51
16	김동준	키움	4.50	33	8	3	0	3	0.727	70	77	5	23	0	50	36	35	1.43
17	안우진	키움	5.20	19	7	5	0	0	0.583	88.3	97	8	36	3	80	56	51	1.51
18	조덕길	키움	7.20	5	0	0	0	0	-	5	9	0	2	0	3	4	4	2.20
19	윤정현	키움	9.00	3	0	0	0	0	-	2	2	0	2	0	2	2	2	2.00
20	이보근	키움	9.72	19	0	2	0	3	0.000	16.6	29	1	4	0	12	18	18	1.98
21	박주성	키움	13.50	4	0	0	0	0	-	4	7	1	6	0	1	6	6	3.25
22	양기현	키움	15.19	4	0	0	0	0	-	5.3	12	0	1	0	3	10	9	2.44
23	조영건	키움	81.00	1	0	1	0	0	0.000	0.3	3	0	3	0	1	3	3	18.00
