순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	박준표	KIA	0.00	3	0	0	0	1	-	3.6	1	0	0	0	5	1	0	0.27
1	박진태	KIA	0.00	3	0	0	0	0	-	2.6	0	0	5	0	4	0	0	1.88
1	변시원	KIA	0.00	3	1	0	0	0	1.000	3	2	0	3	0	1	0	0	1.67
1	전상현	KIA	0.00	4	1	0	0	1	1.000	4.6	1	0	2	0	6	1	0	0.64
1	황윤호	KIA	0.00	1	0	0	0	0	-	0.3	0	0	0	0	0	0	0	0.00
6	브룩스	KIA	1.42	2	0	0	0	0	-	12.6	12	0	0	0	10	2	2	0.95
7	고영창	KIA	2.45	3	0	0	0	0	-	3.6	4	0	1	0	3	1	1	1.36
8	문경찬	KIA	4.50	4	0	0	2	0	-	4	6	1	2	1	5	2	2	2.00
9	이민우	KIA	5.91	2	1	0	0	0	1.000	10.6	13	0	4	0	7	7	7	1.59
10	양현종	KIA	6.00	2	1	1	0	0	0.500	9	8	2	3	0	4	6	6	1.22
11	가뇽	KIA	6.10	2	0	2	0	0	0.000	10.3	12	1	3	0	14	8	7	1.45
12	홍건희	KIA	8.10	1	0	0	0	0	-	3.3	3	2	1	0	1	3	3	1.20
13	임기영	KIA	8.31	1	0	1	0	0	0.000	4.3	5	0	1	2	6	4	4	1.38
14	김현준	KIA	20.25	4	0	0	0	0	-	4	6	0	6	0	4	9	9	3.00
15	이준영	KIA	27.00	4	0	1	0	1	0.000	1.6	5	0	2	0	0	5	5	4.20
