순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	구창모	NC	0.00	2	2	0	0	0	1.000	14	6	0	3	0	18	0	0	0.64
1	배재환	NC	0.00	4	0	0	0	0	-	3.6	3	0	5	2	1	0	0	2.18
3	박진우	NC	1.93	5	0	0	0	2	-	4.6	2	1	0	0	3	1	1	0.43
4	원종현	NC	2.25	5	1	0	3	0	1.000	4	3	1	1	0	4	1	1	1.00
5	라이트	NC	2.45	2	1	0	0	0	1.000	11	9	2	3	1	11	3	3	1.09
6	강윤구	NC	2.70	4	0	0	0	0	-	3.3	2	0	3	0	2	1	1	1.50
7	임정호	NC	3.86	4	0	0	0	2	-	2.3	1	1	1	0	1	1	1	0.86
8	루친스키	NC	3.97	2	1	0	0	0	1.000	11.3	13	2	5	0	12	5	5	1.59
9	김영규	NC	5.40	1	0	0	0	0	-	5	8	2	0	0	4	3	3	1.60
10	홍성무	NC	6.00	1	0	0	1	0	-	3	3	0	3	1	0	2	2	2.00
11	이재학	NC	6.75	1	1	0	0	0	1.000	5.3	6	0	2	0	6	4	4	1.50
12	김건태	NC	8.10	4	0	1	0	1	0.000	3.3	3	1	1	0	4	3	3	1.20
13	임창민	NC	15.00	5	1	0	0	1	1.000	3	6	1	0	0	5	6	5	2.00
