순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	김진영	한화	0.00	5	0	0	0	1	-	4.3	0	0	1	0	9	0	0	0.23
1	이현호	한화	0.00	1	0	0	0	0	-	0.6	1	0	0	0	1	0	0	1.50
3	서폴드	한화	1.20	2	1	0	0	0	1.000	15	7	0	2	0	7	3	2	0.60
4	김이환	한화	1.80	1	0	0	0	0	-	5	2	0	4	1	3	1	1	1.20
5	김민우	한화	2.38	2	0	0	0	0	-	11.3	4	2	4	0	13	3	3	0.71
6	정우람	한화	2.70	3	0	1	2	0	0.000	3.3	3	0	0	0	2	1	1	0.90
7	장민재	한화	3.00	2	1	0	0	0	1.000	12	12	1	2	1	9	4	4	1.17
8	장시환	한화	3.75	2	1	1	0	0	0.500	12	16	0	7	2	13	6	5	1.92
9	박상원	한화	4.50	4	0	0	0	0	-	4	4	1	3	0	2	2	2	1.75
10	임준섭	한화	7.71	2	0	1	0	0	0.000	2.3	4	0	1	0	2	2	2	2.14
11	김범수	한화	9.00	2	0	2	0	0	0.000	1	2	0	2	0	0	2	1	4.00
11	신정락	한화	9.00	3	0	0	0	0	-	3	3	1	3	0	4	3	3	2.00
13	이태양	한화	13.50	2	0	0	0	0	-	2	4	1	2	0	2	3	3	3.00
14	안영명	한화	18.00	2	0	1	0	0	0.000	1	3	0	0	0	0	2	2	3.00
