순위	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	두산	0.323	17	717	634	116	205	37	2	21	309	107	2	11
2	KT	0.320	17	707	629	119	201	38	8	19	312	112	7	11
3	NC	0.289	17	699	603	103	174	29	1	23	274	101	8	7
4	LG	0.275	17	646	563	96	155	33	2	16	240	92	4	5
5	KIA	0.275	18	718	629	88	173	36	0	16	257	83	4	5
6	롯데	0.269	17	664	590	84	159	37	0	15	241	78	1	9
7	키움	0.258	18	696	612	98	158	38	3	18	256	91	2	6
8	한화	0.255	18	666	603	69	154	28	1	11	217	66	5	2
9	삼성	0.247	18	670	588	89	145	33	1	15	225	84	6	9
10	SK	0.234	17	646	582	61	136	20	5	12	202	57	6	4
