순위	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	한화	3.14	10	4	6	3	2	0.400	86	73	6	34	4	70	33	30	1.24
2	NC	3.32	9	8	1	4	9	0.889	84	67	12	34	4	77	32	31	1.20
3	키움	3.38	9	6	3	5	9	0.667	80	84	8	17	5	61	36	30	1.26
4	삼성	4.30	10	4	6	0	5	0.400	88	84	14	37	8	70	52	42	1.38
5	롯데	4.78	9	6	3	0	2	0.667	81	86	11	27	1	62	46	43	1.40
6	LG	5.32	8	5	3	1	3	0.625	71	80	8	22	3	54	46	42	1.44
7	KIA	5.48	10	4	6	2	3	0.400	87	96	9	35	5	75	62	53	1.51
8	SK	5.49	9	1	8	0	2	0.111	78.6	91	8	33	4	66	58	48	1.58
9	KT	5.71	9	2	7	0	4	0.222	82	103	12	25	4	55	58	52	1.56
10	두산	5.89	9	6	3	1	3	0.667	81	105	8	31	4	57	61	53	1.68
